,failure_mode_tm,long_text_notification,clean_text,stop_words_removed,stemmed
1,Worn,18.04.2016 01:58:07 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): gear changer not working needs replacing 1x 10855529 1 x elect 4 hrs    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,gear changer not working needs replacing elect hrs,gear changer working needs replacing elect hrs,gear changer work need replac elect hrs
2,Worn,06.06.2016 14:34:43 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  gear selector playing up needs replacing 1 x elect 4 hrs 1 x 10855529  *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,gear selector playing up needs replacing elect hrs,gear selector playing needs replacing elect hrs,gear selector play need replac elect hrs
3,Worn,27.07.2016 13:34:51 UTC Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace Gear Selector   *     Define work requirements; including known materials specialist labour special tools that are required:  10855529 x 1 12-4 for 3 hours   *     *    ,replace gear selector for hours,replace gear selector hours,replac gear selector hour
5,Worn,09.01.2017 15:54:12 UTC Kris Day (DAYKR9) Phone 0459841998    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  WHILST COMPLETING SOS OPERATOR REPORTED A FAULT WITH THE GEAR LEAVER INTERLOCK   *  RAISED NOTI AND SOURCED PARTS   Define work requirements; including known materials specialist labour special tools that are required:     *     *       10.01.2017 00:18:42 UTC Steven Herbst (HERBS9) replace gear selector assembly,whilst completing sos operator reported fault with the gear leaver interlock raised noti and sourced parts utc steven herbst replace gear selector assembly,whilst completing sos operator reported fault gear leaver interlock raised noti sourced parts utc steven herbst replace gear selector assembly,whilst complet sos oper report fault gear leaver interlock rais noti sourc part utc steven herbst replac gear selector assembl
7,Worn,09.01.2018 13:23:33 UTC Rory Bean (BEANRX)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Faulty selector lever    *  changed out selector lever   Define work requirements; including known materials specialist labour special tools that are required: 1 x 10855529 1 x fitter 3 hrs   *     *    ,faulty selector lever changed out selector lever fitter hrs,faulty selector lever changed selector lever fitter hrs,faulti selector lever chang selector lever fitter hrs
8,Worn,25.04.2018 19:00:24 UTC Ben Daly (DALYB9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Maintainer has the blower mototr to be u/s and needs to be replaced. During investigation it was found that the wrong blower motor had been installed.    * Notification raised    Define work requirements; including known materials specialist labour special tools that are required: 2x HV electritians to replace motor    *     *       26.04.2018 06:41:40 UTC Jay Russell (RUSSJA91) disconnect old blower motor and remove install new blower motor test motor and send back to work (load box),maintainer has the blower mototr to be and needs to be during investigation it was found that the wrong blower motor had been notification raised hv electritians to replace motor utc jay russell disconnect old blower motor and remove install new blower motor test motor and send back to work,maintainer blower mototr needs investigation found wrong blower motor notification raised hv electritians replace motor utc jay russell disconnect old blower motor remove install new blower motor test motor send back work,maintain blower mototr need investig found wrong blower motor notif rais hv electritian replac motor utc jay russel disconnect old blower motor remov instal new blower motor test motor send back work
9,Failed,23.01.2014 06:41:27 Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  W/Shop Horn U/S Replace   *  Not. Created   Define work requirements; including known materials specialist labour special tools that are required:  174-7875 x 1 Sparky 4 hours   *     *    ,horn replace created sparky hours,horn replace created sparky hours,horn replac creat sparki hour
10,Failed,25.01.2014 10:48:33 Daniel Pomeroy (POMED)  Replace potentiometer part ed2863  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required:  1 fitter 2 hours   *     *    ,fitter hours,fitter hours,fitter hour
11,Worn,24.03.2018 06:28:41 UTC Jamie Rayner (RAYNJI9) Phone 07 4940 4333    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  No handle on hoist lever. there is only a peice of hex steel   *  raised notification to have replaced. unsure if correct number as it is the only one i could find in online parts book.   Define work requirements; including known materials specialist labour special tools that are required:  1 X 10855529 1 X fiter 2hr   *  NIL   *  NIL     24.03.2018 06:38:04 UTC Jamie Rayner (RAYNJI9) Phone 07 4940 4333 a different order for same job on different machine has number listed as 10389794 22.05.2018 19:37:51 UTC Steven Gravino (GRAVSA9) Phone +61733298549 job completed,no handle on hoist there is only peice of hex steel raised notification to have unsure if correct number as it is the only one could find in online parts fiter nil nil utc jamie rayner phone different order for same job on different machine has number listed as utc steven gravino phone job completed,handle hoist peice hex steel raised notification unsure correct number one could find online parts fiter nil nil utc jamie rayner phone different order job different machine number listed utc steven gravino phone job completed,handl hoist peic hex steel rais notif unsur correct number one could find onlin part fiter nil nil utc jami rayner phone differ order job differ machin number list utc steven gravino phone job complet
14,Worn,21.05.2018 00:04:43 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Propulsion fault. Checked faults and found 4 counts of direction signal faults. Found forward and reverse being requested at the same time. CHecked selector and foun it to be quite worn Magnet is shorting out on solder joints on PCBoard replace selector.   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x elec 2 hr 1 x 10855529   *     *     22.05.2018 03:35:58 UTC Mitchell Thorning (THORMC9) Replaced selector test ok.,propulsion checked faults and found counts of direction signal found forward and reverse being requested at the same checked selector and foun it to be quite worn magnet is shorting out on solder joints on pcboard replace elec hr utc mitchell thorning replaced selector test,propulsion checked faults found counts direction signal found forward reverse requested checked selector foun quite worn magnet shorting solder joints pcboard replace elec hr utc mitchell thorning replaced selector test,propuls check fault found count direct signal found forward revers request check selector foun quit worn magnet short solder joint pcboard replac elec hr utc mitchel thorn replac selector test
