id,maintainable_item,part,position_1pm,failure_mode_tm,failure_cause_tm,work_order_type,work_order,work_order_desc,actual_start_date,actual_finish,equip_name,equip_id,notification,long_text_notification,material,material_desc,batch,purchase_item_text,operation,vendor,workstream,model,model_size,model_variant,edited_flag,censored,remove,cum_smu_hours,actual_materials_cost,actual_services_cost
428,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM02,425978346,24000H Mech Repl Valve Hoist RD21,12/03/2016,25/05/2016,3131.01.04.74-TK021,3131.01.04.74-TK021,411695738,,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,26596,15440.14,0
445,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,432447576,gear changer not working needs replacing,19/04/2016,19/04/2016,3131.01.04.74-TK016,3131.01.04.74-TK016,413729248,18.04.2016 01:58:07 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): gear changer not working needs replacing 1x 10855529 1 x elect 4 hrs    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,16791,2268.05,0
488,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,432507923,gear selector playing up,7/06/2016,7/06/2016,3131.01.04.74-TK014,3131.01.04.74-TK014,414060458,06.06.2016 14:34:43 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  gear selector playing up needs replacing 1 x elect 4 hrs 1 x 10855529  *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,17739,2193.05,0
520,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,432567423,Replace Gear Selector,28/07/2016,28/07/2016,3131.01.04.74-TK018,3131.01.04.74-TK018,414409746,27.07.2016 13:34:51 UTC Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace Gear Selector   *     Define work requirements; including known materials specialist labour special tools that are required:  10855529 x 1 12-4 for 3 hours   *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,28962,2978.05,0
5,Retard Speed Control Dial: DIAL-01,Motor Brush,,Failed,Age,PM03,430900803,REPLACE DIMMER SWITCH OVERHEAD CONSOLE,16/10/2013,16/10/2013,3131.01.04.74-TK016,3131.01.04.74-TK016,404542506,15.10.2013 02:57:03 Stuart Mau (MAUST)    Define work requirements; including known materials specialist labour special tools that are required: overhead dimmer switch for warning lights is faulty and requires replacing . 1 x electrician 3 hours 1 x 10366576 .    *     *     ,10366576,"POTENTIOMETER,RSC,KOMATSU ED2863",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,1,2176,578.28,0
645,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,432758991,GEAR SELECTOR FAULT,10/01/2017,10/01/2017,3111.01.04.74-TK028,3111.01.04.74-TK028,415572311,09.01.2017 15:54:12 UTC Kris Day (DAYKR9) Phone 0459841998    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  WHILST COMPLETING SOS OPERATOR REPORTED A FAULT WITH THE GEAR LEAVER INTERLOCK   *  RAISED NOTI AND SOURCED PARTS   Define work requirements; including known materials specialist labour special tools that are required:     *     *       10.01.2017 00:18:42 UTC Steven Herbst (HERBS9) replace gear selector assembly,10855529,"LEVER ASSY,KOMATSU PC2873",,,Blackwater Mine,,Drive System (HV),0.093,,,0,0,0,7231,2193.05,0
829,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM02,427944917,3000H Repl Oil Finl Driv RH RD25,11/09/2017,12/09/2017,3111.01.04.74-TK025,3111.01.04.74-TK025,416778731,12.09.2017 00:31:27 UTC Steven Gravino (GRAVSA9) Phone +61733298549 CHANGED OUT OIL ON THE 10/09/2017,10855529,"LEVER ASSY,KOMATSU PC2873",,,Blackwater Mine,,Drive System (HV),0.093,,,0,0,0,11810,8006.78,0
967,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433181652,change selector lever,8/02/2018,8/02/2018,3131.01.04.74-TK014,3131.01.04.74-TK014,418834418,09.01.2018 13:23:33 UTC Rory Bean (BEANRX)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Faulty selector lever    *  changed out selector lever   Define work requirements; including known materials specialist labour special tools that are required: 1 x 10855529 1 x fitter 3 hrs   *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,28142,1812.58,0
1071,Grid Blower Motor: MOTR-51,Blower Motor,F,Worn,Age,PM03,433314418,Blower motor u/s,26/04/2018,26/04/2018,3111.01.04.74-TK025,3111.01.04.74-TK025,419705576,25.04.2018 19:00:24 UTC Ben Daly (DALYB9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Maintainer has the blower mototr to be u/s and needs to be replaced. During investigation it was found that the wrong blower motor had been installed.    * Notification raised    Define work requirements; including known materials specialist labour special tools that are required: 2x HV electritians to replace motor    *     *       26.04.2018 06:41:40 UTC Jay Russell (RUSSJA91) disconnect old blower motor and remove install new blower motor test motor and send back to work (load box),10855532,"MOTOR,SX,BLOWER,KOMATSU XA4146SERVRMKE",NEW,,Blackwater Mine,,Drive System (HV),0.093,,,1,0,0,15762,-71700.08,0
10,Horn: HORN-21,Motor Brush,F,Failed,Age,PM03,431104513,Repolace W/Shop Horn,24/01/2014,25/01/2014,3131.01.04.74-TK014,3131.01.04.74-TK014,405714091,23.01.2014 06:41:27 Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  W/Shop Horn U/S Replace   *  Not. Created   Define work requirements; including known materials specialist labour special tools that are required:  174-7875 x 1 Sparky 4 hours   *     *    ,,,,HORN AS - 24 174-7875,Goonyella Riverside Mine,30119930,Drive System (HV),0.093,,,0,0,0,3809,128.86,0
